path,category,bytes,sha256,rows
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed29_strict65_p1_correct_3072.jsonl,raw_prediction,328950,0dad70070b29b0b365cf26aed058e482b6ad3eb44ea2009bf4b08a53acc2d948,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed29_strict65_p1_shuffled_3072.jsonl,raw_prediction,327695,2d38cf352446a506563fc5d395550b88329c1e0fdd7391f626803621bbbfa777,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed29_strict65_p1_text_only_3072.jsonl,raw_prediction,310324,630e6f43bc3d1582501d448c7a9cde288f997961a38dde6f036b678829c5b02a,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p0_correct_3072.jsonl,raw_prediction,329379,f1e328dc058042fafee9d4a0e9c2731b16bae57c40d3e06ec8739034e5ce1ea1,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p0_shuffled_3072.jsonl,raw_prediction,329270,edf8a7215468a17af7d2fc2d3527a81c31c4e0a6f962d280e0bfdd073b26976a,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p0_text_only_3072.jsonl,raw_prediction,312878,9d239dc00c9abcd504c4b18d1a2bf1141c386b54073301242be4b4429c41938b,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p1_correct_3072.jsonl,raw_prediction,328734,6c60c3a778dd72a3933b95b09af2eadfdf8b591f8d8e076262b3e1af91e74a86,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p1_shuffled_3072.jsonl,raw_prediction,330266,dabff8181b0fb979505df7513bc0ea91fedf89591ab53863849ba82c14fed0f7,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_seed31_strict65_p1_text_only_3072.jsonl,raw_prediction,312061,72e194bdc6f499ed2b09feea3479be8d63d543888460e5badf14a9eb6ef1bc9c,260
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p0_correct_3072.jsonl,raw_prediction,504641,e7c9e5c38baf3bba44441ef5701bc3e36f45c7e31a863816e5eecedb056812e3,400
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p0_shuffled_3072.jsonl,raw_prediction,501500,a6d16c5df6e1577375c70f81fa891e623ab4acd2460ddcf481363c2801ffe071,400
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p0_text_only_3072.jsonl,raw_prediction,479728,08f60510ce591918c46f8d35b4797f3d32f3c34a3c5fc608256cd00864256d79,400
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p1_correct_3072.jsonl,raw_prediction,502833,e02c2535384aa094772319afae470390eca8daa6bc795fb7d72285112a59ee95,400
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p1_shuffled_3072.jsonl,raw_prediction,502375,fbc2407a9540f60a810be578a7ae0df39901d06e43a340cefa5faf4b35e74f63,400
outputs/rineng_overnight_v7/qwen3vl32b/qwen3vl32b_set_b100_p1_text_only_3072.jsonl,raw_prediction,477680,c1526dc212a2932b791a8517dcb7e0ea251b3bfac2825ea1352bd08d10b9b885,400
outputs/rineng_overnight_v7/qwen3vl32b/run_summary.json,run_control,3063,a7618fdfec521b7db1f393627c9261a6b3289126934f2b565d7edd41d72e98dd,
outputs/rineng_overnight_v7/qwen3vl8b/COMPLETE,run_control,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
outputs/rineng_overnight_v7/qwen3vl8b/FINISHED,run_control,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p0_correct_3072.jsonl,raw_prediction,326300,230af10cff0dac3e148aaaff4d56e54193d08b36f1267c59818c43610aee2c67,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p0_shuffled_3072.jsonl,raw_prediction,326812,052cdf9febf92c94b6f56bbd64111908a868b8cb8632eb7d5599cbf3e92dbe36,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p0_text_only_3072.jsonl,raw_prediction,360156,54dc60d913771154991cc20a037ff212314a32045db83a08bbdc0a9a3172392d,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p1_correct_3072.jsonl,raw_prediction,327568,daaccd7119a05e85542b6051f20902911db44c11c8b69e1bb8b07856cf928bdc,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p1_shuffled_3072.jsonl,raw_prediction,328247,df06f5cb492750a99e003be9d706da141eb8cb157a2951b6fc498fed4282346d,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed29_strict65_p1_text_only_3072.jsonl,raw_prediction,367567,73a4c8663a2def5ce7a265a56e30a6f786ce82bc6d9ec5d41ace8d80dd2126de,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p0_correct_3072.jsonl,raw_prediction,326072,19a0bfc2727223e1eb59b1248c6e22491d5a066fdfb707c1bccc9c0249cfdd9c,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p0_shuffled_3072.jsonl,raw_prediction,329310,fe1167f3a12b5fb52921ebed211d08ac2f1d312174be17fdff2965da57115de3,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p0_text_only_3072.jsonl,raw_prediction,354957,65539de7250de76e99f5c78064b24bf3024367d7aa2aa3fbcc8c75b6e32362f7,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p1_correct_3072.jsonl,raw_prediction,327224,2b5db333b62abd9593c89f3990cca9853222e3a2646fe65b38e2179a08663c79,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p1_shuffled_3072.jsonl,raw_prediction,331447,7232d253aa784bc6404ff83e1d0a3d3f4b863aac23e1575c7e0bba5f96b8d5f7,260
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_seed31_strict65_p1_text_only_3072.jsonl,raw_prediction,363733,35eb2e37589504ca65688d1a5bc3ec5a7ac0f3e9cc7ce58ad5da645e4f693fb3,260
