cost_ratio_fn_over_fp,method_id,label,loss_total,loss_per_source,deterministic_optimal,bootstrap_probability_optimal
0.049999999999999996,set_intersection,Intersection,13.1,0.131,1,1.0
0.049999999999999996,paddleocr_geometry,OCR joined,38.45,0.3845,0,0.0
0.049999999999999996,ocr_if_nonempty_else_qwen,OCR-first,47.65,0.4765,0,0.0
0.049999999999999996,set_union,Union,185.15,1.8515000000000001,0,0.0
0.05094498536409505,set_intersection,Intersection,13.328686458111003,0.13328686458111003,1,1.0
0.05094498536409505,paddleocr_geometry,OCR joined,38.628602233813965,0.38628602233813963,0,0.0
0.05094498536409505,ocr_if_nonempty_else_qwen,OCR-first,47.81348246798844,0.47813482467988444,0,0.0
0.05094498536409505,set_union,Union,185.24733349250178,1.8524733349250178,0,0.0
0.05190783067495721,set_intersection,Intersection,13.561695023339645,0.13561695023339645,1,1.0
0.05190783067495721,paddleocr_geometry,OCR joined,38.81057999756691,0.38810579997566913,0,0.0
0.05190783067495721,ocr_if_nonempty_else_qwen,OCR-first,47.980054706767596,0.47980054706767594,0,0.0
0.05190783067495721,set_union,Union,185.3465065595206,1.853465065595206,0,0.0
0.052888873480352386,set_intersection,Intersection,13.799107382245277,0.13799107382245276,1,1.0
0.052888873480352386,paddleocr_geometry,OCR joined,38.9959970877866,0.389959970877866,0,0.0
0.052888873480352386,ocr_if_nonempty_else_qwen,OCR-first,48.14977511210096,0.4814977511210096,0,0.0
0.052888873480352386,set_union,Union,185.44755396847629,1.8544755396847628,0,0.0
0.053888457707600576,set_intersection,Intersection,14.04100676523934,0.1404100676523934,1,1.0
0.053888457707600576,paddleocr_geometry,OCR joined,39.18491850673651,0.3918491850673651,0,0.0
0.053888457707600576,ocr_if_nonempty_else_qwen,OCR-first,48.3227031834149,0.483227031834149,0,0.0
0.053888457707600576,set_union,Union,185.55051114388286,1.8555051114388286,0,0.0
0.054906933784147335,set_intersection,Intersection,14.287477975763656,0.14287477975763654,1,1.0
0.054906933784147335,paddleocr_geometry,OCR joined,39.377410485203846,0.39377410485203845,0,0.0
0.054906933784147335,ocr_if_nonempty_else_qwen,OCR-first,48.49889954465749,0.4849889954465749,0,0.0
0.054906933784147335,set_union,Union,185.65541417976718,1.8565541417976719,0,0.0
0.05594465876041445,set_intersection,Intersection,14.538607420020297,0.14538607420020297,1,1.0
0.05594465876041445,paddleocr_geometry,OCR joined,39.57354050571833,0.3957354050571833,0,0.0
0.05594465876041445,ocr_if_nonempty_else_qwen,OCR-first,48.678425965551696,0.48678425965551697,0,0.0
0.05594465876041445,set_union,Union,185.76229985232268,1.8576229985232269,0,0.0
0.057001996434972155,set_intersection,Intersection,14.794483137263262,0.14794483137263262,1,1.0
0.057001996434972155,paddleocr_geometry,OCR joined,39.77337732620974,0.3977337732620974,0,0.0
0.057001996434972155,ocr_if_nonempty_else_qwen,OCR-first,48.86134538325018,0.4886134538325018,0,0.0
0.057001996434972155,set_union,Union,185.87120563280214,1.8587120563280215,0,0.0
0.0580793174820771,set_intersection,Intersection,15.055194830662657,0.15055194830662658,1,1.0
0.0580793174820771,paddleocr_geometry,OCR joined,39.97699100411257,0.3997699100411257,0,0.0
0.0580793174820771,ocr_if_nonempty_else_qwen,OCR-first,49.04772192439934,0.4904772192439934,0,0.0
0.0580793174820771,set_union,Union,185.98216970065394,1.8598216970065393,0,0.0
0.05917699958162099,set_intersection,Intersection,15.32083389875228,0.1532083389875228,1,1.0
0.05917699958162099,paddleocr_geometry,OCR joined,40.18445292092637,0.40184452920926367,0,0.0
0.05917699958162099,ocr_if_nonempty_else_qwen,OCR-first,49.23762092762043,0.49237620927620435,0,0.0
0.05917699958162099,set_union,Union,186.09523095690696,1.8609523095690697,0,0.0
0.06029542755153481,set_intersection,Intersection,15.591493467471423,0.15591493467471423,1,1.0
