condition,connectivity_accuracy,count_accuracy,dataset,latency_mean_seconds,latency_p95_seconds,model,prompt,records,source_macro_accuracy,spatial_count_accuracy,strict_accuracy,value_exact_accuracy,value_f1,value_fn,value_fp,value_precision,value_recall,value_tp
correct,0.5538461538461539,0.06153846153846154,seed29_strict65,1.6756779316741113,2.767669728025794,qwen3vl32b,p0,260,0.39615384615384613,0.5538461538461539,0.39615384615384613,0.4153846153846154,0.7361111111111112,65,49,0.7644230769230769,0.7098214285714286,159
shuffled,0.5538461538461539,0.07692307692307693,seed29_strict65,1.6474252794367763,3.388299399986863,qwen3vl32b,p0,260,0.2923076923076923,0.5384615384615384,0.2923076923076923,0.0,0.007736943907156673,222,291,0.006825938566552901,0.008928571428571428,2
text_only,0.5538461538461539,0.046153846153846156,seed29_strict65,0.4648927486501634,2.4007483730092645,qwen3vl32b,p0,260,0.28846153846153844,0.5538461538461539,0.28846153846153844,0.0,0.0,224,382,0.0,0.0,0
correct,0.5538461538461539,0.06153846153846154,seed29_strict65,1.6128976355450084,2.751959259621799,qwen3vl32b,p1,260,0.38846153846153847,0.5538461538461539,0.38846153846153847,0.38461538461538464,0.6873614190687362,69,72,0.6828193832599119,0.6919642857142857,155
shuffled,0.5538461538461539,0.07692307692307693,seed29_strict65,1.521836496474078,2.755879302509129,qwen3vl32b,p1,260,0.3,0.5692307692307692,0.3,0.0,0.00909090909090909,222,214,0.009259259259259259,0.008928571428571428,2
text_only,0.5538461538461539,0.03076923076923077,seed29_strict65,0.3287125343850885,0.9577843230217695,qwen3vl32b,p1,260,0.2846153846153846,0.5538461538461539,0.2846153846153846,0.0,0.0,224,237,0.0,0.0,0
correct,0.5230769230769231,0.06153846153846154,seed31_strict65,1.6006994852509635,2.948809653520584,qwen3vl32b,p0,260,0.3269230769230769,0.4461538461538462,0.3269230769230769,0.27692307692307694,0.656934306569343,69,72,0.6521739130434783,0.6617647058823529,135
shuffled,0.5384615384615384,0.046153846153846156,seed31_strict65,1.563415350048588,2.764321392402053,qwen3vl32b,p0,260,0.25769230769230766,0.4461538461538462,0.25769230769230766,0.0,0.02197802197802198,199,246,0.0199203187250996,0.024509803921568627,5
text_only,0.5384615384615384,0.09230769230769231,seed31_strict65,0.4969260449270503,2.410148249939084,qwen3vl32b,p0,260,0.27307692307692305,0.46153846153846156,0.27307692307692305,0.0,0.0,204,421,0.0,0.0,0
correct,0.5230769230769231,0.06153846153846154,seed31_strict65,1.595924744547273,2.928604026325047,qwen3vl32b,p1,260,0.3269230769230769,0.4461538461538462,0.3269230769230769,0.27692307692307694,0.6454767726161369,72,73,0.6439024390243903,0.6470588235294118,132
shuffled,0.5384615384615384,0.06153846153846154,seed31_strict65,1.6516697199370425,2.754987698048353,qwen3vl32b,p1,260,0.2692307692307692,0.46153846153846156,0.2692307692307692,0.015384615384615385,0.02100840336134454,199,267,0.01838235294117647,0.024509803921568627,5
text_only,0.5384615384615384,0.046153846153846156,seed31_strict65,0.4391184956408464,1.4306106148287654,qwen3vl32b,p1,260,0.2653846153846154,0.47692307692307695,0.2653846153846154,0.0,0.0,204,350,0.0,0.0,0
correct,0.0,0.11,set_b100,0.8091362237604335,1.8971980772912502,internvl35_8b,p0,400,0.0325,0.02,0.0325,0.0,0.012556053811659192,341,760,0.009126466753585397,0.020114942528735632,7
shuffled,0.0,0.13,set_b100,0.8359301879559644,2.0219932394102216,internvl35_8b,p0,400,0.045,0.05,0.045,0.0,0.0,348,864,0.0,0.0,0
text_only,0.08,0.06,set_b100,1.4095947441156023,13.9101502886042,internvl35_8b,p0,400,0.1375,0.41,0.1375,0.0,0.0,348,3621,0.0,0.0,0
correct,0.15,0.14,set_b100,1.3300405215634965,13.994128616526723,internvl35_8b,p1,400,0.08,0.03,0.08,0.0,0.009009009009009009,339,1641,0.005454545454545455,0.02586206896551724,9
shuffled,0.14,0.1,set_b100,1.3629517132858746,13.99886685796082,internvl35_8b,p1,400,0.0725,0.05,0.0725,0.0,0.0,348,1707,0.0,0.0,0
text_only,0.35,0.07,set_b100,2.355602311966941,13.953981720842421,internvl35_8b,p1,400,0.2,0.38,0.2,0.0,0.0,348,6226,0.0,0.0,0
correct,0.0,0.07692307692307693,seed29_strict65,0.9678834968748001,3.1232937974855304,internvl35_8b,p0,260,0.046153846153846156,0.09230769230769231,0.046153846153846156,0.015384615384615385,0.012332990750256937,218,743,0.00801068090787717,0.026785714285714284,6
shuffled,0.0,0.06153846153846154,seed29_strict65,0.9420779301964033,3.2188520561903715,internvl35_8b,p0,260,0.05,0.13846153846153847,0.05,0.0,0.0,224,847,0.0,0.0,0
text_only,0.07692307692307693,0.07692307692307693,seed29_strict65,1.6223041951513062,13.996234685182571,internvl35_8b,p0,260,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.0,0.0,224,2884,0.0,0.0,0
correct,0.09230769230769231,0.07692307692307693,seed29_strict65,1.4911310319251452,14.104176944121718,internvl35_8b,p1,260,0.057692307692307696,0.046153846153846156,0.057692307692307696,0.015384615384615385,0.011741682974559686,215,1300,0.006875477463712758,0.04017857142857143,9
shuffled,0.12307692307692308,0.13846153846153847,seed29_strict65,1.2916431517232783,13.917350495234132,internvl35_8b,p1,260,0.08846153846153847,0.09230769230769231,0.08846153846153847,0.0,0.0,224,1073,0.0,0.0,0
text_only,0.18461538461538463,0.1076923076923077,seed29_strict65,2.324293653516529,14.033764134161174,internvl35_8b,p1,260,0.16153846153846155,0.35384615384615387,0.16153846153846155,0.0,0.0,224,4055,0.0,0.0,0
correct,0.0,0.046153846153846156,seed31_strict65,1.0378979434868179,3.876299984753132,internvl35_8b,p0,260,0.03076923076923077,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.02569593147751606,192,718,0.01643835616438356,0.058823529411764705,12
shuffled,0.0,0.046153846153846156,seed31_strict65,1.038476596210295,4.2846140917390585,internvl35_8b,p0,260,0.023076923076923078,0.046153846153846156,0.023076923076923078,0.0,0.0018066847335140017,203,902,0.0011074197120708748,0.004901960784313725,1
text_only,0.015384615384615385,0.06153846153846154,seed31_strict65,1.1987719362494178,13.961140263825655,internvl35_8b,p0,260,0.11923076923076924,0.4,0.11923076923076924,0.0,0.0,204,1900,0.0,0.0,0
correct,0.12307692307692308,0.07692307692307693,seed31_strict65,1.1773649408589475,5.966515883803368,internvl35_8b,p1,260,0.057692307692307696,0.015384615384615385,0.057692307692307696,0.015384615384615385,0.020338983050847456,192,964,0.012295081967213115,0.058823529411764705,12
shuffled,0.15384615384615385,0.046153846153846156,seed31_strict65,1.421767708218585,13.992033207789063,internvl35_8b,p1,260,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.0,0.0013175230566534915,203,1313,0.00076103500761035,0.004901960784313725,1
text_only,0.27692307692307694,0.07692307692307693,seed31_strict65,1.741454060536881,13.942186943255365,internvl35_8b,p1,260,0.18846153846153846,0.4,0.18846153846153846,0.0,0.0,204,2888,0.0,0.0,0
